identifier,author,title,year_published,pre_1923,1923-1963_copyright_not_renewed,in_loebolus,notes,urls
L001,Apollonius Rhodius,Apollonius Rhodius. Argonautica,1912,true,"",true,New title: Argonautica,http://books.google.com/books?id=O5ANAAAAIAAJ
L002,Appian,Roman History I: Books 1-8.1,1912,true,"",true,"",http://www.archive.org/details/appiansromanhist01appi http://books.google.com/books?id=LHg0u8q9bL8C
L003,Appian,Roman History II: Books 8.2-12,1912,true,"",true,"",http://www.archive.org/details/appiansromanhist02appi
L004,Appian,"Roman History III: The Civil Wars, Books 1-3.26",1913,true,"",true,"",http://www.archive.org/details/appiansromanhist03appi
L005,Appian,"Roman History IV: The Civil Wars, Books 3.27-5",1913,true,"",true,"",http://www.archive.org/details/appiansromanhist04appi http://books.google.com/books?id=Xex81ufLfoIC
L006,Catullus,Catullus. Tibullus. Pervigilium Veneris,,,"",true,"",""
L007N,Cicero,Letters to Atticus I,1912,true,"",true,New title: Volume XXII: Letters to Atticus 1-89,http://www.archive.org/details/letterstoatticus01ciceuoft http://books.google.com/books?id=4yW3YNAWmwQC
L008N,Cicero,Letters to Atticus II,1913,true,"",true,New title: Volume XXIII: Letters to Atticus 90-165A,http://www.archive.org/details/letterstoatticus02ciceuoft http://books.google.com/books?id=dMyx1LfFZoQC
L009,Euripides,Euripides I: Iphigenia at Aulis. Rhesus. Hecuba. The Daughters of Troy. Helen,1916,true,"",true,New title: Volume III: Suppliant Women. Electra. Heracles,http://www.archive.org/details/euripidesway01euriuoft http://books.google.com/books?id=GmRiAAAAMAAJ
L010N,Euripides,Euripides II: Electra. Orestes. Iphigeneia in Taurica. Andromache. Cyclops,1912,true,"",true,New title: Volume IV: Trojan Women. Iphigenia among the Taurians. Ion,http://www.archive.org/details/euripideswitheng02euri http://books.google.com/books?id=ti5JAAAAYAAJ
L011N,Euripides,Euripides III: Bacchanals. Madness of Hercules. Children of Hercules. Phoenician Maidens. Suppliants,1912,true,"",true,New title: Volume V: Helen. Phoenician Women. Orestes,http://www.archive.org/details/euripidesway03euriuoft http://books.google.com/books?id=KmViAAAAMAAJ
L012,Euripides,Euripides IV: Ion. Hippolytus. Medea. Alcestis,1912,true,"",true,New title: Volume I: Cyclops. Alcestis. Medea,http://www.archive.org/details/euripidesway04euriuoft http://books.google.com/books?id=gS9JAAAAYAAJ
